[325,    69] loss: 3241.768
[326,    69] loss: 3241.705
[327,    69] loss: 3241.642
[328,    69] loss: 3241.579
[329,    69] loss: 3241.514
[330,    69] loss: 3241.451
[331,    69] loss: 3241.387
[332,    69] loss: 3241.325
[333,    69] loss: 3241.265
[334,    69] loss: 3241.203
[335,    69] loss: 3241.141
[336,    69] loss: 3241.080
[337,    69] loss: 3241.018
[338,    69] loss: 3240.955
[339,    69] loss: 3240.896
[340,    69] loss: 3240.834
[341,    69] loss: 3240.773
[342,    69] loss: 3240.712
[343,    69] loss: 3240.651
[344,    69] loss: 3240.589
[345,    69] loss: 3240.528
[346,    69] loss: 3240.466
[347,    69] loss: 3240.402
[348,    69] loss: 3240.339
[349,    69] loss: 3240.279
[350,    69] loss: 3240.220
[351,    69] loss: 3240.159
[352,    69] loss: 3240.099
[353,    69] loss: 3240.038
[354,    69] loss: 3239.978
[355,    69] loss: 3239.917
[356,    69] loss: 3239.856
[357,    69] loss: 3239.794
[358,    69] loss: 3239.735
[359,    69] loss: 3239.676
[360,    69] loss: 3239.614
[361,    69] loss: 3239.551
[362,    69] loss: 3239.488
[363,    69] loss: 3239.429
[364,    69] loss: 3239.370
[365,    69] loss: 3239.310
[366,    69] loss: 3239.250
[367,    69] loss: 3239.189
[368,    69] loss: 3239.128
[369,    69] loss: 3239.068
[370,    69] loss: 3239.009
[371,    69] loss: 3238.947
[372,    69] loss: 3238.887
[373,    69] loss: 3238.826
[374,    69] loss: 3238.767
[375,    69] loss: 3238.707
[376,    69] loss: 3238.647
[377,    69] loss: 3238.587
[378,    69] loss: 3238.526
[379,    69] loss: 3238.465
[380,    69] loss: 3238.407
[381,    69] loss: 3238.350
[382,    69] loss: 3238.289
[383,    69] loss: 3238.231
[384,    69] loss: 3238.171
[385,    69] loss: 3238.114
[386,    69] loss: 3238.055
[387,    69] loss: 3237.995
[388,    69] loss: 3237.935
[389,    69] loss: 3237.878
[390,    69] loss: 3237.820
[391,    69] loss: 3237.630
[392,    69] loss: 3237.561
[393,    69] loss: 3237.551
[394,    69] loss: 3237.544
[395,    69] loss: 3237.538
[396,    69] loss: 3237.532
[397,    69] loss: 3237.525
[398,    69] loss: 3237.519
[399,    69] loss: 3237.513
[400,    69] loss: 3237.507
[401,    69] loss: 3237.501
[402,    69] loss: 3237.495
[403,    69] loss: 3237.488
[404,    69] loss: 3237.482
[405,    69] loss: 3237.476
[406,    69] loss: 3237.470
[407,    69] loss: 3237.464
[408,    69] loss: 3237.457
[409,    69] loss: 3237.451
[410,    69] loss: 3237.445
[411,    69] loss: 3237.439
[412,    69] loss: 3237.433
[413,    69] loss: 3237.426
[414,    69] loss: 3237.420
[415,    69] loss: 3237.414
[416,    69] loss: 3237.408
[417,    69] loss: 3237.402
[418,    69] loss: 3237.395
[419,    69] loss: 3237.389
[420,    69] loss: 3237.383
[421,    69] loss: 3237.377
[422,    69] loss: 3237.370
[423,    69] loss: 3237.364
[424,    69] loss: 3237.358
[425,    69] loss: 3237.352
[426,    69] loss: 3237.346
[427,    69] loss: 3237.339
[428,    69] loss: 3237.333
[429,    69] loss: 3237.327
[430,    69] loss: 3237.321
[431,    69] loss: 3237.314
[432,    69] loss: 3237.308
[433,    69] loss: 3237.302
[434,    69] loss: 3237.295
[435,    69] loss: 3237.289
[436,    69] loss: 3237.283
[437,    69] loss: 3237.277
[438,    69] loss: 3237.271
[439,    69] loss: 3237.264
[440,    69] loss: 3237.258
[441,    69] loss: 3237.252
[442,    69] loss: 3237.246
[443,    69] loss: 3237.239
[444,    69] loss: 3237.233
[445,    69] loss: 3237.227
[446,    69] loss: 3237.221
[447,    69] loss: 3237.215
[448,    69] loss: 3237.209
[449,    69] loss: 3237.202
[450,    69] loss: 3237.196
[451,    69] loss: 3237.190
[452,    69] loss: 3237.184
[453,    69] loss: 3237.177
[454,    69] loss: 3237.171
[455,    69] loss: 3237.165
[456,    69] loss: 3237.159
[457,    69] loss: 3237.153
[458,    69] loss: 3237.147
[459,    69] loss: 3237.140
[460,    69] loss: 3237.134
[461,    69] loss: 3237.128
[462,    69] loss: 3237.122
[463,    69] loss: 3237.116
[464,    69] loss: 3237.109
[465,    69] loss: 3237.103
[466,    69] loss: 3237.097
[467,    69] loss: 3237.091
[468,    69] loss: 3237.085
[469,    69] loss: 3237.078
[470,    69] loss: 3237.072
[471,    69] loss: 3237.066
[472,    69] loss: 3237.060
[473,    69] loss: 3237.053
[474,    69] loss: 3237.047
[475,    69] loss: 3237.041
[476,    69] loss: 3237.035
[477,    69] loss: 3237.029
[478,    69] loss: 3237.022
[479,    69] loss: 3237.016
[480,    69] loss: 3237.010
[481,    69] loss: 3237.004
[482,    69] loss: 3236.998
[483,    69] loss: 3236.992
[484,    69] loss: 3236.986
[485,    69] loss: 3236.979
[486,    69] loss: 3236.973
[487,    69] loss: 3236.967
[488,    69] loss: 3236.961
[489,    69] loss: 3236.955
[490,    69] loss: 3236.949
[491,    69] loss: 3236.943
[492,    69] loss: 3236.936
[493,    69] loss: 3236.930
[494,    69] loss: 3236.924
[495,    69] loss: 3236.918
[496,    69] loss: 3236.912
[497,    69] loss: 3236.906
[498,    69] loss: 3236.900
[499,    69] loss: 3236.893
[500,    69] loss: 3236.887
